1C:20:DB:xx:xx:xx	1C-20-DB-xx-xx-xx	1C20.DBxx.xxxx
1C:59:9B:xx:xx:xx	1C-59-9B-xx-xx-xx	1C59.9Bxx.xxxx
1C:67:58:xx:xx:xx	1C-67-58-xx-xx-xx	1C67.58xx.xxxx
1C:7F:2C:xx:xx:xx	1C-7F-2C-xx-xx-xx	1C7F.2Cxx.xxxx
1C:8E:5C:xx:xx:xx	1C-8E-5C-xx-xx-xx	1C8E.5Cxx.xxxx
20:08:ED:xx:xx:xx	20-08-ED-xx-xx-xx	2008.EDxx.xxxx
20:0B:C7:xx:xx:xx	20-0B-C7-xx-xx-xx	200B.C7xx.xxxx
20:28:3E:xx:xx:xx	20-28-3E-xx-xx-xx	2028.3Exx.xxxx
20:2B:C1:xx:xx:xx	20-2B-C1-xx-xx-xx	202B.C1xx.xxxx
20:3D:B2:xx:xx:xx	20-3D-B2-xx-xx-xx	203D.B2xx.xxxx
20:54:FA:xx:xx:xx	20-54-FA-xx-xx-xx	2054.FAxx.xxxx
20:65:8E:xx:xx:xx	20-65-8E-xx-xx-xx	2065.8Exx.xxxx
20:A6:80:xx:xx:xx	20-A6-80-xx-xx-xx	20A6.80xx.xxxx
20:DA:22:xx:xx:xx	20-DA-22-xx-xx-xx	20DA.22xx.xxxx
20:F1:7C:xx:xx:xx	20-F1-7C-xx-xx-xx	20F1.7Cxx.xxxx
20:F3:A3:xx:xx:xx	20-F3-A3-xx-xx-xx	20F3.A3xx.xxxx
24:00:BA:xx:xx:xx	24-00-BA-xx-xx-xx	2400.BAxx.xxxx
24:09:95:xx:xx:xx	24-09-95-xx-xx-xx	2409.95xx.xxxx
24:16:6D:xx:xx:xx	24-16-6D-xx-xx-xx	2416.6Dxx.xxxx
24:1F:A0:xx:xx:xx	24-1F-A0-xx-xx-xx	241F.A0xx.xxxx
24:2E:02:xx:xx:xx	24-2E-02-xx-xx-xx	242E.02xx.xxxx
24:31:54:xx:xx:xx	24-31-54-xx-xx-xx	2431.54xx.xxxx
24:44:27:xx:xx:xx	24-44-27-xx-xx-xx	2444.27xx.xxxx
24:4C:07:xx:xx:xx	24-4C-07-xx-xx-xx	244C.07xx.xxxx
24:69:A5:xx:xx:xx	24-69-A5-xx-xx-xx	2469.A5xx.xxxx
24:7F:3C:xx:xx:xx	24-7F-3C-xx-xx-xx	247F.3Cxx.xxxx
24:9E:AB:xx:xx:xx	24-9E-AB-xx-xx-xx	249E.ABxx.xxxx
24:BC:F8:xx:xx:xx	24-BC-F8-xx-xx-xx	24BC.F8xx.xxxx
24:DA:33:xx:xx:xx	24-DA-33-xx-xx-xx	24DA.33xx.xxxx
24:DB:AC:xx:xx:xx	24-DB-AC-xx-xx-xx	24DB.ACxx.xxxx
24:DF:6A:xx:xx:xx	24-DF-6A-xx-xx-xx	24DF.6Axx.xxxx
24:FB:65:xx:xx:xx	24-FB-65-xx-xx-xx	24FB.65xx.xxxx
28:31:52:xx:xx:xx	28-31-52-xx-xx-xx	2831.52xx.xxxx
28:3C:E4:xx:xx:xx	28-3C-E4-xx-xx-xx	283C.E4xx.xxxx
28:41:C6:xx:xx:xx	28-41-C6-xx-xx-xx	2841.C6xx.xxxx
28:5F:DB:xx:xx:xx	28-5F-DB-xx-xx-xx	285F.DBxx.xxxx
28:6E:D4:xx:xx:xx	28-6E-D4-xx-xx-xx	286E.D4xx.xxxx
28:9E:97:xx:xx:xx	28-9E-97-xx-xx-xx	289E.97xx.xxxx
28:A6:DB:xx:xx:xx	28-A6-DB-xx-xx-xx	28A6.DBxx.xxxx
28:B4:48:xx:xx:xx	28-B4-48-xx-xx-xx	28B4.48xx.xxxx
2C:55:D3:xx:xx:xx	2C-55-D3-xx-xx-xx	2C55.D3xx.xxxx
2C:58:E8:xx:xx:xx	2C-58-E8-xx-xx-xx	2C58.E8xx.xxxx
2C:97:B1:xx:xx:xx	2C-97-B1-xx-xx-xx	2C97.B1xx.xxxx
2C:9D:1E:xx:xx:xx	2C-9D-1E-xx-xx-xx	2C9D.1Exx.xxxx
2C:AB:00:xx:xx:xx	2C-AB-00-xx-xx-xx	2CAB.00xx.xxxx
2C:CF:58:xx:xx:xx	2C-CF-58-xx-xx-xx	2CCF.58xx.xxxx
30:45:96:xx:xx:xx	30-45-96-xx-xx-xx	3045.96xx.xxxx
30:74:96:xx:xx:xx	30-74-96-xx-xx-xx	3074.96xx.xxxx
30:87:30:xx:xx:xx	30-87-30-xx-xx-xx	3087.30xx.xxxx
30:A1:FA:xx:xx:xx	30-A1-FA-xx-xx-xx	30A1.FAxx.xxxx
30:D1:7E:xx:xx:xx	30-D1-7E-xx-xx-xx	30D1.7Exx.xxxx
30:F3:35:xx:xx:xx	30-F3-35-xx-xx-xx	30F3.35xx.xxxx
34:00:A3:xx:xx:xx	34-00-A3-xx-xx-xx	3400.A3xx.xxxx
34:0A:98:xx:xx:xx	34-0A-98-xx-xx-xx	340A.98xx.xxxx
34:12:F9:xx:xx:xx	34-12-F9-xx-xx-xx	3412.F9xx.xxxx
34:1E:6B:xx:xx:xx	34-1E-6B-xx-xx-xx	341E.6Bxx.xxxx
34:29:12:xx:xx:xx	34-29-12-xx-xx-xx	3429.12xx.xxxx
34:2E:B6:xx:xx:xx	34-2E-B6-xx-xx-xx	342E.B6xx.xxxx
34:6A:C2:xx:xx:xx	34-6A-C2-xx-xx-xx	346A.C2xx.xxxx
34:6B:D3:xx:xx:xx	34-6B-D3-xx-xx-xx	346B.D3xx.xxxx
34:79:16:xx:xx:xx	34-79-16-xx-xx-xx	3479.16xx.xxxx
34:A2:A2:xx:xx:xx	34-A2-A2-xx-xx-xx	34A2.A2xx.xxxx
34:B3:54:xx:xx:xx	34-B3-54-xx-xx-xx	34B3.54xx.xxxx
34:CD:BE:xx:xx:xx	34-CD-BE-xx-xx-xx	34CD.BExx.xxxx
38:37:8B:xx:xx:xx	38-37-8B-xx-xx-xx	3837.8Bxx.xxxx
38:4C:4F:xx:xx:xx	38-4C-4F-xx-xx-xx	384C.4Fxx.xxxx
38:BC:01:xx:xx:xx	38-BC-01-xx-xx-xx	38BC.01xx.xxxx
38:F8:89:xx:xx:xx	38-F8-89-xx-xx-xx	38F8.89xx.xxxx
3C:15:FB:xx:xx:xx	3C-15-FB-xx-xx-xx	3C15.FBxx.xxxx
3C:47:11:xx:xx:xx	3C-47-11-xx-xx-xx	3C47.11xx.xxxx
3C:67:8C:xx:xx:xx	3C-67-8C-xx-xx-xx	3C67.8Cxx.xxxx
3C:78:43:xx:xx:xx	3C-78-43-xx-xx-xx	3C78.43xx.xxxx
3C:CD:5D:xx:xx:xx	3C-CD-5D-xx-xx-xx	3CCD.5Dxx.xxxx
3C:DF:BD:xx:xx:xx	3C-DF-BD-xx-xx-xx	3CDF.BDxx.xxxx
3C:E8:24:xx:xx:xx	3C-E8-24-xx-xx-xx	3CE8.24xx.xxxx
3C:F8:08:xx:xx:xx	3C-F8-08-xx-xx-xx	3CF8.08xx.xxxx
3C:FA:43:xx:xx:xx	3C-FA-43-xx-xx-xx	3CFA.43xx.xxxx
40:4D:8E:xx:xx:xx	40-4D-8E-xx-xx-xx	404D.8Exx.xxxx
40:7D:0F:xx:xx:xx	40-7D-0F-xx-xx-xx	407D.0Fxx.xxxx
40:CB:A8:xx:xx:xx	40-CB-A8-xx-xx-xx	40CB.A8xx.xxxx
40:EE:DD:xx:xx:xx	40-EE-DD-xx-xx-xx	40EE.DDxx.xxxx
44:00:4D:xx:xx:xx	44-00-4D-xx-xx-xx	4400.4Dxx.xxxx
44:55:B1:xx:xx:xx	44-55-B1-xx-xx-xx	4455.B1xx.xxxx
44:6A:2E:xx:xx:xx	44-6A-2E-xx-xx-xx	446A.2Exx.xxxx
44:6E:E5:xx:xx:xx	44-6E-E5-xx-xx-xx	446E.E5xx.xxxx
44:82:E5:xx:xx:xx	44-82-E5-xx-xx-xx	4482.E5xx.xxxx
44:C3:46:xx:xx:xx	44-C3-46-xx-xx-xx	44C3.46xx.xxxx
48:00:31:xx:xx:xx	48-00-31-xx-xx-xx	4800.31xx.xxxx
48:3C:0C:xx:xx:xx	48-3C-0C-xx-xx-xx	483C.0Cxx.xxxx
48:3F:E9:xx:xx:xx	48-3F-E9-xx-xx-xx	483F.E9xx.xxxx
48:43:5A:xx:xx:xx	48-43-5A-xx-xx-xx	4843.5Axx.xxxx
48:46:FB:xx:xx:xx	48-46-FB-xx-xx-xx	4846.FBxx.xxxx
48:57:02:xx:xx:xx	48-57-02-xx-xx-xx	4857.02xx.xxxx
48:62:76:xx:xx:xx	48-62-76-xx-xx-xx	4862.76xx.xxxx
48:7B:6B:xx:xx:xx	48-7B-6B-xx-xx-xx	487B.6Bxx.xxxx
48:8E:EF:xx:xx:xx	48-8E-EF-xx-xx-xx	488E.EFxx.xxxx
48:AD:08:xx:xx:xx	48-AD-08-xx-xx-xx	48AD.08xx.xxxx
48:D5:39:xx:xx:xx	48-D5-39-xx-xx-xx	48D5.39xx.xxxx
48:DB:50:xx:xx:xx	48-DB-50-xx-xx-xx	48DB.50xx.xxxx
48:F8:DB:xx:xx:xx	48-F8-DB-xx-xx-xx	48F8.DBxx.xxxx
48:FD:8E:xx:xx:xx	48-FD-8E-xx-xx-xx	48FD.8Exx.xxxx
4C:1F:CC:xx:xx:xx	4C-1F-CC-xx-xx-xx	4C1F.CCxx.xxxx
4C:54:99:xx:xx:xx	4C-54-99-xx-xx-xx	4C54.99xx.xxxx
4C:8B:EF:xx:xx:xx	4C-8B-EF-xx-xx-xx	4C8B.EFxx.xxxx
4C:B1:6C:xx:xx:xx	4C-B1-6C-xx-xx-xx	4CB1.6Cxx.xxxx
4C:D0:CB:xx:xx:xx	4C-D0-CB-xx-xx-xx	4CD0.CBxx.xxxx
4C:D1:A1:xx:xx:xx	4C-D1-A1-xx-xx-xx	4CD1.A1xx.xxxx
