0C:3E:9F:xx:xx:xx	0C-3E-9F-xx-xx-xx	0C3E.9Fxx.xxxx
0C:4D:E9:xx:xx:xx	0C-4D-E9-xx-xx-xx	0C4D.E9xx.xxxx
0C:51:01:xx:xx:xx	0C-51-01-xx-xx-xx	0C51.01xx.xxxx
0C:74:C2:xx:xx:xx	0C-74-C2-xx-xx-xx	0C74.C2xx.xxxx
0C:77:1A:xx:xx:xx	0C-77-1A-xx-xx-xx	0C77.1Axx.xxxx
0C:BC:9F:xx:xx:xx	0C-BC-9F-xx-xx-xx	0CBC.9Fxx.xxxx
0C:D7:46:xx:xx:xx	0C-D7-46-xx-xx-xx	0CD7.46xx.xxxx
10:1C:0C:xx:xx:xx	10-1C-0C-xx-xx-xx	101C.0Cxx.xxxx
10:30:25:xx:xx:xx	10-30-25-xx-xx-xx	1030.25xx.xxxx
10:40:F3:xx:xx:xx	10-40-F3-xx-xx-xx	1040.F3xx.xxxx
10:41:7F:xx:xx:xx	10-41-7F-xx-xx-xx	1041.7Fxx.xxxx
10:93:E9:xx:xx:xx	10-93-E9-xx-xx-xx	1093.E9xx.xxxx
10:94:BB:xx:xx:xx	10-94-BB-xx-xx-xx	1094.BBxx.xxxx
10:9A:DD:xx:xx:xx	10-9A-DD-xx-xx-xx	109A.DDxx.xxxx
10:DD:B1:xx:xx:xx	10-DD-B1-xx-xx-xx	10DD.B1xx.xxxx
14:10:9F:xx:xx:xx	14-10-9F-xx-xx-xx	1410.9Fxx.xxxx
14:20:5E:xx:xx:xx	14-20-5E-xx-xx-xx	1420.5Exx.xxxx
14:5A:05:xx:xx:xx	14-5A-05-xx-xx-xx	145A.05xx.xxxx
14:8F:C6:xx:xx:xx	14-8F-C6-xx-xx-xx	148F.C6xx.xxxx
14:99:E2:xx:xx:xx	14-99-E2-xx-xx-xx	1499.E2xx.xxxx
14:9D:99:xx:xx:xx	14-9D-99-xx-xx-xx	149D.99xx.xxxx
14:BD:61:xx:xx:xx	14-BD-61-xx-xx-xx	14BD.61xx.xxxx
14:C2:13:xx:xx:xx	14-C2-13-xx-xx-xx	14C2.13xx.xxxx
14:D0:0D:xx:xx:xx	14-D0-0D-xx-xx-xx	14D0.0Dxx.xxxx
18:20:32:xx:xx:xx	18-20-32-xx-xx-xx	1820.32xx.xxxx
18:34:51:xx:xx:xx	18-34-51-xx-xx-xx	1834.51xx.xxxx
18:65:90:xx:xx:xx	18-65-90-xx-xx-xx	1865.90xx.xxxx
18:81:0E:xx:xx:xx	18-81-0E-xx-xx-xx	1881.0Exx.xxxx
18:9E:FC:xx:xx:xx	18-9E-FC-xx-xx-xx	189E.FCxx.xxxx
18:AF:61:xx:xx:xx	18-AF-61-xx-xx-xx	18AF.61xx.xxxx
18:AF:8F:xx:xx:xx	18-AF-8F-xx-xx-xx	18AF.8Fxx.xxxx
