84:8F:69:xx:xx:xx	84-8F-69-xx-xx-xx	848F.69xx.xxxx
88:6F:D4:xx:xx:xx	88-6F-D4-xx-xx-xx	886F.D4xx.xxxx
8C:04:BA:xx:xx:xx	8C-04-BA-xx-xx-xx	8C04.BAxx.xxxx
8C:EC:4B:xx:xx:xx	8C-EC-4B-xx-xx-xx	8CEC.4Bxx.xxxx
90:B1:1C:xx:xx:xx	90-B1-1C-xx-xx-xx	90B1.1Cxx.xxxx
98:40:BB:xx:xx:xx	98-40-BB-xx-xx-xx	9840.BBxx.xxxx
98:90:96:xx:xx:xx	98-90-96-xx-xx-xx	9890.96xx.xxxx
A4:1F:72:xx:xx:xx	A4-1F-72-xx-xx-xx	A41F.72xx.xxxx
A4:4C:C8:xx:xx:xx	A4-4C-C8-xx-xx-xx	A44C.C8xx.xxxx
A4:BA:DB:xx:xx:xx	A4-BA-DB-xx-xx-xx	A4BA.DBxx.xxxx
A8:99:69:xx:xx:xx	A8-99-69-xx-xx-xx	A899.69xx.xxxx
B0:83:FE:xx:xx:xx	B0-83-FE-xx-xx-xx	B083.FExx.xxxx
B4:E1:0F:xx:xx:xx	B4-E1-0F-xx-xx-xx	B4E1.0Fxx.xxxx
B8:2A:72:xx:xx:xx	B8-2A-72-xx-xx-xx	B82A.72xx.xxxx
B8:85:84:xx:xx:xx	B8-85-84-xx-xx-xx	B885.84xx.xxxx
B8:AC:6F:xx:xx:xx	B8-AC-6F-xx-xx-xx	B8AC.6Fxx.xxxx
B8:CA:3A:xx:xx:xx	B8-CA-3A-xx-xx-xx	B8CA.3Axx.xxxx
BC:30:5B:xx:xx:xx	BC-30-5B-xx-xx-xx	BC30.5Bxx.xxxx
C8:1F:66:xx:xx:xx	C8-1F-66-xx-xx-xx	C81F.66xx.xxxx
C8:F7:50:xx:xx:xx	C8-F7-50-xx-xx-xx	C8F7.50xx.xxxx
