00:26:CC:xx:xx:xx	00-26-CC-xx-xx-xx	0026.CCxx.xxxx
00:40:43:xx:xx:xx	00-40-43-xx-xx-xx	0040.43xx.xxxx
00:77:E4:xx:xx:xx	00-77-E4-xx-xx-xx	0077.E4xx.xxxx
00:BD:3A:xx:xx:xx	00-BD-3A-xx-xx-xx	00BD.3Axx.xxxx
00:D0:F6:xx:xx:xx	00-D0-F6-xx-xx-xx	00D0.F6xx.xxxx
00:E0:03:xx:xx:xx	00-E0-03-xx-xx-xx	00E0.03xx.xxxx
04:5A:95:xx:xx:xx	04-5A-95-xx-xx-xx	045A.95xx.xxxx
04:A8:2A:xx:xx:xx	04-A8-2A-xx-xx-xx	04A8.2Axx.xxxx
04:C2:41:xx:xx:xx	04-C2-41-xx-xx-xx	04C2.41xx.xxxx
0C:54:B9:xx:xx:xx	0C-54-B9-xx-xx-xx	0C54.B9xx.xxxx
0C:7C:28:xx:xx:xx	0C-7C-28-xx-xx-xx	0C7C.28xx.xxxx
0C:C6:6A:xx:xx:xx	0C-C6-6A-xx-xx-xx	0CC6.6Axx.xxxx
0C:DD:EF:xx:xx:xx	0C-DD-EF-xx-xx-xx	0CDD.EFxx.xxxx
10:E8:78:xx:xx:xx	10-E8-78-xx-xx-xx	10E8.78xx.xxxx
10:F9:EE:xx:xx:xx	10-F9-EE-xx-xx-xx	10F9.EExx.xxxx
14:36:05:xx:xx:xx	14-36-05-xx-xx-xx	1436.05xx.xxxx
14:3E:60:xx:xx:xx	14-3E-60-xx-xx-xx	143E.60xx.xxxx
14:7B:AC:xx:xx:xx	14-7B-AC-xx-xx-xx	147B.ACxx.xxxx
14:C1:26:xx:xx:xx	14-C1-26-xx-xx-xx	14C1.26xx.xxxx
18:14:56:xx:xx:xx	18-14-56-xx-xx-xx	1814.56xx.xxxx
18:86:AC:xx:xx:xx	18-86-AC-xx-xx-xx	1886.ACxx.xxxx
1C:EA:1B:xx:xx:xx	1C-EA-1B-xx-xx-xx	1CEA.1Bxx.xxxx
20:78:52:xx:xx:xx	20-78-52-xx-xx-xx	2078.52xx.xxxx
20:D6:07:xx:xx:xx	20-D6-07-xx-xx-xx	20D6.07xx.xxxx
20:E0:9C:xx:xx:xx	20-E0-9C-xx-xx-xx	20E0.9Cxx.xxxx
24:21:24:xx:xx:xx	24-21-24-xx-xx-xx	2421.24xx.xxxx
28:47:AA:xx:xx:xx	28-47-AA-xx-xx-xx	2847.AAxx.xxxx
28:D1:AF:xx:xx:xx	28-D1-AF-xx-xx-xx	28D1.AFxx.xxxx
2C:5A:05:xx:xx:xx	2C-5A-05-xx-xx-xx	2C5A.05xx.xxxx
2C:CC:15:xx:xx:xx	2C-CC-15-xx-xx-xx	2CCC.15xx.xxxx
2C:D2:E7:xx:xx:xx	2C-D2-E7-xx-xx-xx	2CD2.E7xx.xxxx
30:38:55:xx:xx:xx	30-38-55-xx-xx-xx	3038.55xx.xxxx
30:FE:31:xx:xx:xx	30-FE-31-xx-xx-xx	30FE.31xx.xxxx
34:7E:39:xx:xx:xx	34-7E-39-xx-xx-xx	347E.39xx.xxxx
34:AA:99:xx:xx:xx	34-AA-99-xx-xx-xx	34AA.99xx.xxxx
34:C8:03:xx:xx:xx	34-C8-03-xx-xx-xx	34C8.03xx.xxxx
38:19:2F:xx:xx:xx	38-19-2F-xx-xx-xx	3819.2Fxx.xxxx
38:52:1A:xx:xx:xx	38-52-1A-xx-xx-xx	3852.1Axx.xxxx
3C:18:9F:xx:xx:xx	3C-18-9F-xx-xx-xx	3C18.9Fxx.xxxx
3C:25:D7:xx:xx:xx	3C-25-D7-xx-xx-xx	3C25.D7xx.xxxx
3C:36:3D:xx:xx:xx	3C-36-3D-xx-xx-xx	3C36.3Dxx.xxxx
3C:C2:43:xx:xx:xx	3C-C2-43-xx-xx-xx	3CC2.43xx.xxxx
3C:F7:2A:xx:xx:xx	3C-F7-2A-xx-xx-xx	3CF7.2Axx.xxxx
40:7A:80:xx:xx:xx	40-7A-80-xx-xx-xx	407A.80xx.xxxx
40:7C:7D:xx:xx:xx	40-7C-7D-xx-xx-xx	407C.7Dxx.xxxx
48:DC:FB:xx:xx:xx	48-DC-FB-xx-xx-xx	48DC.FBxx.xxxx
48:EC:5B:xx:xx:xx	48-EC-5B-xx-xx-xx	48EC.5Bxx.xxxx
48:F7:F1:xx:xx:xx	48-F7-F1-xx-xx-xx	48F7.F1xx.xxxx
48:F8:E1:xx:xx:xx	48-F8-E1-xx-xx-xx	48F8.E1xx.xxxx
4C:25:78:xx:xx:xx	4C-25-78-xx-xx-xx	4C25.78xx.xxxx
4C:7F:62:xx:xx:xx	4C-7F-62-xx-xx-xx	4C7F.62xx.xxxx
4C:C9:4F:xx:xx:xx	4C-C9-4F-xx-xx-xx	4CC9.4Fxx.xxxx
50:2D:1D:xx:xx:xx	50-2D-1D-xx-xx-xx	502D.1Dxx.xxxx
50:40:61:xx:xx:xx	50-40-61-xx-xx-xx	5040.61xx.xxxx
50:A0:A4:xx:xx:xx	50-A0-A4-xx-xx-xx	50A0.A4xx.xxxx
