08:EC:A9:xx:xx:xx	08-EC-A9-xx-xx-xx	08EC.A9xx.xxxx
08:EE:8B:xx:xx:xx	08-EE-8B-xx-xx-xx	08EE.8Bxx.xxxx
08:FC:88:xx:xx:xx	08-FC-88-xx-xx-xx	08FC.88xx.xxxx
08:FD:0E:xx:xx:xx	08-FD-0E-xx-xx-xx	08FD.0Exx.xxxx
0C:14:20:xx:xx:xx	0C-14-20-xx-xx-xx	0C14.20xx.xxxx
0C:71:5D:xx:xx:xx	0C-71-5D-xx-xx-xx	0C71.5Dxx.xxxx
0C:89:10:xx:xx:xx	0C-89-10-xx-xx-xx	0C89.10xx.xxxx
0C:A8:A7:xx:xx:xx	0C-A8-A7-xx-xx-xx	0CA8.A7xx.xxxx
0C:B3:19:xx:xx:xx	0C-B3-19-xx-xx-xx	0CB3.19xx.xxxx
0C:DF:A4:xx:xx:xx	0C-DF-A4-xx-xx-xx	0CDF.A4xx.xxxx
0C:E0:DC:xx:xx:xx	0C-E0-DC-xx-xx-xx	0CE0.DCxx.xxxx
10:07:B6:xx:xx:xx	10-07-B6-xx-xx-xx	1007.B6xx.xxxx
10:1D:C0:xx:xx:xx	10-1D-C0-xx-xx-xx	101D.C0xx.xxxx
10:30:47:xx:xx:xx	10-30-47-xx-xx-xx	1030.47xx.xxxx
10:3B:59:xx:xx:xx	10-3B-59-xx-xx-xx	103B.59xx.xxxx
10:77:B1:xx:xx:xx	10-77-B1-xx-xx-xx	1077.B1xx.xxxx
10:8E:E0:xx:xx:xx	10-8E-E0-xx-xx-xx	108E.E0xx.xxxx
10:92:66:xx:xx:xx	10-92-66-xx-xx-xx	1092.66xx.xxxx
10:D3:8A:xx:xx:xx	10-D3-8A-xx-xx-xx	10D3.8Axx.xxxx
10:D5:42:xx:xx:xx	10-D5-42-xx-xx-xx	10D5.42xx.xxxx
14:1F:78:xx:xx:xx	14-1F-78-xx-xx-xx	141F.78xx.xxxx
14:32:D1:xx:xx:xx	14-32-D1-xx-xx-xx	1432.D1xx.xxxx
14:49:E0:xx:xx:xx	14-49-E0-xx-xx-xx	1449.E0xx.xxxx
14:56:8E:xx:xx:xx	14-56-8E-xx-xx-xx	1456.8Exx.xxxx
14:89:FD:xx:xx:xx	14-89-FD-xx-xx-xx	1489.FDxx.xxxx
14:96:E5:xx:xx:xx	14-96-E5-xx-xx-xx	1496.E5xx.xxxx
14:9F:3C:xx:xx:xx	14-9F-3C-xx-xx-xx	149F.3Cxx.xxxx
14:A3:64:xx:xx:xx	14-A3-64-xx-xx-xx	14A3.64xx.xxxx
14:B4:84:xx:xx:xx	14-B4-84-xx-xx-xx	14B4.84xx.xxxx
14:BB:6E:xx:xx:xx	14-BB-6E-xx-xx-xx	14BB.6Exx.xxxx
14:F4:2A:xx:xx:xx	14-F4-2A-xx-xx-xx	14F4.2Axx.xxxx
18:16:C9:xx:xx:xx	18-16-C9-xx-xx-xx	1816.C9xx.xxxx
18:19:D6:xx:xx:xx	18-19-D6-xx-xx-xx	1819.D6xx.xxxx
18:1E:B0:xx:xx:xx	18-1E-B0-xx-xx-xx	181E.B0xx.xxxx
18:21:95:xx:xx:xx	18-21-95-xx-xx-xx	1821.95xx.xxxx
18:22:7E:xx:xx:xx	18-22-7E-xx-xx-xx	1822.7Exx.xxxx
18:26:66:xx:xx:xx	18-26-66-xx-xx-xx	1826.66xx.xxxx
18:3A:2D:xx:xx:xx	18-3A-2D-xx-xx-xx	183A.2Dxx.xxxx
18:3F:47:xx:xx:xx	18-3F-47-xx-xx-xx	183F.47xx.xxxx
18:46:17:xx:xx:xx	18-46-17-xx-xx-xx	1846.17xx.xxxx
18:67:B0:xx:xx:xx	18-67-B0-xx-xx-xx	1867.B0xx.xxxx
18:83:31:xx:xx:xx	18-83-31-xx-xx-xx	1883.31xx.xxxx
18:89:5B:xx:xx:xx	18-89-5B-xx-xx-xx	1889.5Bxx.xxxx
18:E2:C2:xx:xx:xx	18-E2-C2-xx-xx-xx	18E2.C2xx.xxxx
1C:23:2C:xx:xx:xx	1C-23-2C-xx-xx-xx	1C23.2Cxx.xxxx
1C:3A:DE:xx:xx:xx	1C-3A-DE-xx-xx-xx	1C3A.DExx.xxxx
1C:5A:3E:xx:xx:xx	1C-5A-3E-xx-xx-xx	1C5A.3Exx.xxxx
1C:62:B8:xx:xx:xx	1C-62-B8-xx-xx-xx	1C62.B8xx.xxxx
1C:66:AA:xx:xx:xx	1C-66-AA-xx-xx-xx	1C66.AAxx.xxxx
1C:AF:05:xx:xx:xx	1C-AF-05-xx-xx-xx	1CAF.05xx.xxxx
20:13:E0:xx:xx:xx	20-13-E0-xx-xx-xx	2013.E0xx.xxxx
20:2D:07:xx:xx:xx	20-2D-07-xx-xx-xx	202D.07xx.xxxx
20:32:6C:xx:xx:xx	20-32-6C-xx-xx-xx	2032.6Cxx.xxxx
20:55:31:xx:xx:xx	20-55-31-xx-xx-xx	2055.31xx.xxxx
20:5E:F7:xx:xx:xx	20-5E-F7-xx-xx-xx	205E.F7xx.xxxx
20:64:32:xx:xx:xx	20-64-32-xx-xx-xx	2064.32xx.xxxx
20:6E:9C:xx:xx:xx	20-6E-9C-xx-xx-xx	206E.9Cxx.xxxx
20:D3:90:xx:xx:xx	20-D3-90-xx-xx-xx	20D3.90xx.xxxx
20:D5:BF:xx:xx:xx	20-D5-BF-xx-xx-xx	20D5.BFxx.xxxx
20:DB:AB:xx:xx:xx	20-DB-AB-xx-xx-xx	20DB.ABxx.xxxx
24:18:1D:xx:xx:xx	24-18-1D-xx-xx-xx	2418.1Dxx.xxxx
24:4B:03:xx:xx:xx	24-4B-03-xx-xx-xx	244B.03xx.xxxx
24:4B:81:xx:xx:xx	24-4B-81-xx-xx-xx	244B.81xx.xxxx
24:92:0E:xx:xx:xx	24-92-0E-xx-xx-xx	2492.0Exx.xxxx
24:C6:96:xx:xx:xx	24-C6-96-xx-xx-xx	24C6.96xx.xxxx
24:DB:ED:xx:xx:xx	24-DB-ED-xx-xx-xx	24DB.EDxx.xxxx
24:F5:AA:xx:xx:xx	24-F5-AA-xx-xx-xx	24F5.AAxx.xxxx
24:FC:E5:xx:xx:xx	24-FC-E5-xx-xx-xx	24FC.E5xx.xxxx
28:02:D8:xx:xx:xx	28-02-D8-xx-xx-xx	2802.D8xx.xxxx
28:27:BF:xx:xx:xx	28-27-BF-xx-xx-xx	2827.BFxx.xxxx
28:39:5E:xx:xx:xx	28-39-5E-xx-xx-xx	2839.5Exx.xxxx
28:83:35:xx:xx:xx	28-83-35-xx-xx-xx	2883.35xx.xxxx
28:98:7B:xx:xx:xx	28-98-7B-xx-xx-xx	2898.7Bxx.xxxx
28:BA:B5:xx:xx:xx	28-BA-B5-xx-xx-xx	28BA.B5xx.xxxx
28:CC:01:xx:xx:xx	28-CC-01-xx-xx-xx	28CC.01xx.xxxx
2C:0E:3D:xx:xx:xx	2C-0E-3D-xx-xx-xx	2C0E.3Dxx.xxxx
2C:40:53:xx:xx:xx	2C-40-53-xx-xx-xx	2C40.53xx.xxxx
2C:44:01:xx:xx:xx	2C-44-01-xx-xx-xx	2C44.01xx.xxxx
2C:AE:2B:xx:xx:xx	2C-AE-2B-xx-xx-xx	2CAE.2Bxx.xxxx
2C:BA:BA:xx:xx:xx	2C-BA-BA-xx-xx-xx	2CBA.BAxx.xxxx
30:07:4D:xx:xx:xx	30-07-4D-xx-xx-xx	3007.4Dxx.xxxx
30:19:66:xx:xx:xx	30-19-66-xx-xx-xx	3019.66xx.xxxx
30:6A:85:xx:xx:xx	30-6A-85-xx-xx-xx	306A.85xx.xxxx
30:96:FB:xx:xx:xx	30-96-FB-xx-xx-xx	3096.FBxx.xxxx
30:C7:AE:xx:xx:xx	30-C7-AE-xx-xx-xx	30C7.AExx.xxxx
30:CB:F8:xx:xx:xx	30-CB-F8-xx-xx-xx	30CB.F8xx.xxxx
30:CD:A7:xx:xx:xx	30-CD-A7-xx-xx-xx	30CD.A7xx.xxxx
30:D5:87:xx:xx:xx	30-D5-87-xx-xx-xx	30D5.87xx.xxxx
30:D6:C9:xx:xx:xx	30-D6-C9-xx-xx-xx	30D6.C9xx.xxxx
34:14:5F:xx:xx:xx	34-14-5F-xx-xx-xx	3414.5Fxx.xxxx
34:23:BA:xx:xx:xx	34-23-BA-xx-xx-xx	3423.BAxx.xxxx
34:2D:0D:xx:xx:xx	34-2D-0D-xx-xx-xx	342D.0Dxx.xxxx
34:31:11:xx:xx:xx	34-31-11-xx-xx-xx	3431.11xx.xxxx
34:8A:7B:xx:xx:xx	34-8A-7B-xx-xx-xx	348A.7Bxx.xxxx
34:AA:8B:xx:xx:xx	34-AA-8B-xx-xx-xx	34AA.8Bxx.xxxx
34:BE:00:xx:xx:xx	34-BE-00-xx-xx-xx	34BE.00xx.xxxx
34:C3:AC:xx:xx:xx	34-C3-AC-xx-xx-xx	34C3.ACxx.xxxx
38:01:95:xx:xx:xx	38-01-95-xx-xx-xx	3801.95xx.xxxx
38:0A:94:xx:xx:xx	38-0A-94-xx-xx-xx	380A.94xx.xxxx
38:0B:40:xx:xx:xx	38-0B-40-xx-xx-xx	380B.40xx.xxxx
38:16:D1:xx:xx:xx	38-16-D1-xx-xx-xx	3816.D1xx.xxxx
38:2D:D1:xx:xx:xx	38-2D-D1-xx-xx-xx	382D.D1xx.xxxx
38:2D:E8:xx:xx:xx	38-2D-E8-xx-xx-xx	382D.E8xx.xxxx
38:94:96:xx:xx:xx	38-94-96-xx-xx-xx	3894.96xx.xxxx
38:9A:F6:xx:xx:xx	38-9A-F6-xx-xx-xx	389A.F6xx.xxxx
38:AA:3C:xx:xx:xx	38-AA-3C-xx-xx-xx	38AA.3Cxx.xxxx
38:D4:0B:xx:xx:xx	38-D4-0B-xx-xx-xx	38D4.0Bxx.xxxx
38:EC:E4:xx:xx:xx	38-EC-E4-xx-xx-xx	38EC.E4xx.xxxx
3C:05:18:xx:xx:xx	3C-05-18-xx-xx-xx	3C05.18xx.xxxx
3C:20:F6:xx:xx:xx	3C-20-F6-xx-xx-xx	3C20.F6xx.xxxx
3C:57:6C:xx:xx:xx	3C-57-6C-xx-xx-xx	3C57.6Cxx.xxxx
3C:5A:37:xx:xx:xx	3C-5A-37-xx-xx-xx	3C5A.37xx.xxxx
3C:62:00:xx:xx:xx	3C-62-00-xx-xx-xx	3C62.00xx.xxxx
3C:8B:FE:xx:xx:xx	3C-8B-FE-xx-xx-xx	3C8B.FExx.xxxx
3C:A1:0D:xx:xx:xx	3C-A1-0D-xx-xx-xx	3CA1.0Dxx.xxxx
3C:BB:FD:xx:xx:xx	3C-BB-FD-xx-xx-xx	3CBB.FDxx.xxxx
3C:DC:BC:xx:xx:xx	3C-DC-BC-xx-xx-xx	3CDC.BCxx.xxxx
3C:F7:A4:xx:xx:xx	3C-F7-A4-xx-xx-xx	3CF7.A4xx.xxxx
40:0E:85:xx:xx:xx	40-0E-85-xx-xx-xx	400E.85xx.xxxx
40:16:3B:xx:xx:xx	40-16-3B-xx-xx-xx	4016.3Bxx.xxxx
40:D3:AE:xx:xx:xx	40-D3-AE-xx-xx-xx	40D3.AExx.xxxx
44:4E:1A:xx:xx:xx	44-4E-1A-xx-xx-xx	444E.1Axx.xxxx
44:6D:6C:xx:xx:xx	44-6D-6C-xx-xx-xx	446D.6Cxx.xxxx
44:78:3E:xx:xx:xx	44-78-3E-xx-xx-xx	4478.3Exx.xxxx
44:F4:59:xx:xx:xx	44-F4-59-xx-xx-xx	44F4.59xx.xxxx
48:13:7E:xx:xx:xx	48-13-7E-xx-xx-xx	4813.7Exx.xxxx
48:27:EA:xx:xx:xx	48-27-EA-xx-xx-xx	4827.EAxx.xxxx
48:44:F7:xx:xx:xx	48-44-F7-xx-xx-xx	4844.F7xx.xxxx
48:49:C7:xx:xx:xx	48-49-C7-xx-xx-xx	4849.C7xx.xxxx
48:51:69:xx:xx:xx	48-51-69-xx-xx-xx	4851.69xx.xxxx
48:9D:D1:xx:xx:xx	48-9D-D1-xx-xx-xx	489D.D1xx.xxxx
48:C7:96:xx:xx:xx	48-C7-96-xx-xx-xx	48C7.96xx.xxxx
4C:3C:16:xx:xx:xx	4C-3C-16-xx-xx-xx	4C3C.16xx.xxxx
4C:66:41:xx:xx:xx	4C-66-41-xx-xx-xx	4C66.41xx.xxxx
4C:A5:6D:xx:xx:xx	4C-A5-6D-xx-xx-xx	4CA5.6Dxx.xxxx
4C:BC:A5:xx:xx:xx	4C-BC-A5-xx-xx-xx	4CBC.A5xx.xxxx
4C:DD:31:xx:xx:xx	4C-DD-31-xx-xx-xx	4CDD.31xx.xxxx
50:01:BB:xx:xx:xx	50-01-BB-xx-xx-xx	5001.BBxx.xxxx
50:32:75:xx:xx:xx	50-32-75-xx-xx-xx	5032.75xx.xxxx
50:3D:A1:xx:xx:xx	50-3D-A1-xx-xx-xx	503D.A1xx.xxxx
50:56:BF:xx:xx:xx	50-56-BF-xx-xx-xx	5056.BFxx.xxxx
50:77:05:xx:xx:xx	50-77-05-xx-xx-xx	5077.05xx.xxxx
50:85:69:xx:xx:xx	50-85-69-xx-xx-xx	5085.69xx.xxxx
50:92:B9:xx:xx:xx	50-92-B9-xx-xx-xx	5092.B9xx.xxxx
50:9E:A7:xx:xx:xx	50-9E-A7-xx-xx-xx	509E.A7xx.xxxx
50:A4:C8:xx:xx:xx	50-A4-C8-xx-xx-xx	50A4.C8xx.xxxx
50:B7:C3:xx:xx:xx	50-B7-C3-xx-xx-xx	50B7.C3xx.xxxx
50:C8:E5:xx:xx:xx	50-C8-E5-xx-xx-xx	50C8.E5xx.xxxx
50:CC:F8:xx:xx:xx	50-CC-F8-xx-xx-xx	50CC.F8xx.xxxx
50:F0:D3:xx:xx:xx	50-F0-D3-xx-xx-xx	50F0.D3xx.xxxx
50:F5:20:xx:xx:xx	50-F5-20-xx-xx-xx	50F5.20xx.xxxx
50:FC:9F:xx:xx:xx	50-FC-9F-xx-xx-xx	50FC.9Fxx.xxxx
54:40:AD:xx:xx:xx	54-40-AD-xx-xx-xx	5440.ADxx.xxxx
54:88:0E:xx:xx:xx	54-88-0E-xx-xx-xx	5488.0Exx.xxxx
54:92:BE:xx:xx:xx	54-92-BE-xx-xx-xx	5492.BExx.xxxx
54:9B:12:xx:xx:xx	54-9B-12-xx-xx-xx	549B.12xx.xxxx
54:B8:02:xx:xx:xx	54-B8-02-xx-xx-xx	54B8.02xx.xxxx
54:BD:79:xx:xx:xx	54-BD-79-xx-xx-xx	54BD.79xx.xxxx
54:F2:01:xx:xx:xx	54-F2-01-xx-xx-xx	54F2.01xx.xxxx
54:FA:3E:xx:xx:xx	54-FA-3E-xx-xx-xx	54FA.3Exx.xxxx
54:FC:F0:xx:xx:xx	54-FC-F0-xx-xx-xx	54FC.F0xx.xxxx
58:B1:0F:xx:xx:xx	58-B1-0F-xx-xx-xx	58B1.0Fxx.xxxx
58:C3:8B:xx:xx:xx	58-C3-8B-xx-xx-xx	58C3.8Bxx.xxxx
58:C5:CB:xx:xx:xx	58-C5-CB-xx-xx-xx	58C5.CBxx.xxxx
5C:0A:5B:xx:xx:xx	5C-0A-5B-xx-xx-xx	5C0A.5Bxx.xxxx
5C:2E:59:xx:xx:xx	5C-2E-59-xx-xx-xx	5C2E.59xx.xxxx
5C:3C:27:xx:xx:xx	5C-3C-27-xx-xx-xx	5C3C.27xx.xxxx
5C:49:7D:xx:xx:xx	5C-49-7D-xx-xx-xx	5C49.7Dxx.xxxx
5C:51:81:xx:xx:xx	5C-51-81-xx-xx-xx	5C51.81xx.xxxx
5C:86:5C:xx:xx:xx	5C-86-5C-xx-xx-xx	5C86.5Cxx.xxxx
5C:99:60:xx:xx:xx	5C-99-60-xx-xx-xx	5C99.60xx.xxxx
5C:A3:9D:xx:xx:xx	5C-A3-9D-xx-xx-xx	5CA3.9Dxx.xxxx
5C:E8:EB:xx:xx:xx	5C-E8-EB-xx-xx-xx	5CE8.EBxx.xxxx
5C:F6:DC:xx:xx:xx	5C-F6-DC-xx-xx-xx	5CF6.DCxx.xxxx
60:6B:BD:xx:xx:xx	60-6B-BD-xx-xx-xx	606B.BDxx.xxxx
60:77:E2:xx:xx:xx	60-77-E2-xx-xx-xx	6077.E2xx.xxxx
60:8E:08:xx:xx:xx	60-8E-08-xx-xx-xx	608E.08xx.xxxx
60:8F:5C:xx:xx:xx	60-8F-5C-xx-xx-xx	608F.5Cxx.xxxx
60:A1:0A:xx:xx:xx	60-A1-0A-xx-xx-xx	60A1.0Axx.xxxx
60:A4:D0:xx:xx:xx	60-A4-D0-xx-xx-xx	60A4.D0xx.xxxx
60:AF:6D:xx:xx:xx	60-AF-6D-xx-xx-xx	60AF.6Dxx.xxxx
60:C5:AD:xx:xx:xx	60-C5-AD-xx-xx-xx	60C5.ADxx.xxxx
60:D0:A9:xx:xx:xx	60-D0-A9-xx-xx-xx	60D0.A9xx.xxxx
64:1C:AE:xx:xx:xx	64-1C-AE-xx-xx-xx	641C.AExx.xxxx
64:1C:B0:xx:xx:xx	64-1C-B0-xx-xx-xx	641C.B0xx.xxxx
64:6C:B2:xx:xx:xx	64-6C-B2-xx-xx-xx	646C.B2xx.xxxx
64:77:91:xx:xx:xx	64-77-91-xx-xx-xx	6477.91xx.xxxx
64:7B:CE:xx:xx:xx	64-7B-CE-xx-xx-xx	647B.CExx.xxxx
64:89:F1:xx:xx:xx	64-89-F1-xx-xx-xx	6489.F1xx.xxxx
64:B3:10:xx:xx:xx	64-B3-10-xx-xx-xx	64B3.10xx.xxxx
64:B8:53:xx:xx:xx	64-B8-53-xx-xx-xx	64B8.53xx.xxxx
68:05:71:xx:xx:xx	68-05-71-xx-xx-xx	6805.71xx.xxxx
68:27:37:xx:xx:xx	68-27-37-xx-xx-xx	6827.37xx.xxxx
68:48:98:xx:xx:xx	68-48-98-xx-xx-xx	6848.98xx.xxxx
68:5A:CF:xx:xx:xx	68-5A-CF-xx-xx-xx	685A.CFxx.xxxx
68:7D:6B:xx:xx:xx	68-7D-6B-xx-xx-xx	687D.6Bxx.xxxx
68:E7:C2:xx:xx:xx	68-E7-C2-xx-xx-xx	68E7.C2xx.xxxx
68:EB:AE:xx:xx:xx	68-EB-AE-xx-xx-xx	68EB.AExx.xxxx
6C:00:6B:xx:xx:xx	6C-00-6B-xx-xx-xx	6C00.6Bxx.xxxx
6C:2F:2C:xx:xx:xx	6C-2F-2C-xx-xx-xx	6C2F.2Cxx.xxxx
6C:83:36:xx:xx:xx	6C-83-36-xx-xx-xx	6C83.36xx.xxxx
6C:B7:F4:xx:xx:xx	6C-B7-F4-xx-xx-xx	6CB7.F4xx.xxxx
6C:C7:EC:xx:xx:xx	6C-C7-EC-xx-xx-xx	6CC7.ECxx.xxxx
6C:F3:73:xx:xx:xx	6C-F3-73-xx-xx-xx	6CF3.73xx.xxxx
70:28:8B:xx:xx:xx	70-28-8B-xx-xx-xx	7028.8Bxx.xxxx
70:2A:D5:xx:xx:xx	70-2A-D5-xx-xx-xx	702A.D5xx.xxxx
70:5A:AC:xx:xx:xx	70-5A-AC-xx-xx-xx	705A.ACxx.xxxx
70:F9:27:xx:xx:xx	70-F9-27-xx-xx-xx	70F9.27xx.xxxx
70:FD:46:xx:xx:xx	70-FD-46-xx-xx-xx	70FD.46xx.xxxx
74:45:8A:xx:xx:xx	74-45-8A-xx-xx-xx	7445.8Axx.xxxx
74:5F:00:xx:xx:xx	74-5F-00-xx-xx-xx	745F.00xx.xxxx
74:EB:80:xx:xx:xx	74-EB-80-xx-xx-xx	74EB.80xx.xxxx
78:00:9E:xx:xx:xx	78-00-9E-xx-xx-xx	7800.9Exx.xxxx
