30:8D:99:xx:xx:xx	30-8D-99-xx-xx-xx	308D.99xx.xxxx
30:E1:71:xx:xx:xx	30-E1-71-xx-xx-xx	30E1.71xx.xxxx
34:64:A9:xx:xx:xx	34-64-A9-xx-xx-xx	3464.A9xx.xxxx
38:63:BB:xx:xx:xx	38-63-BB-xx-xx-xx	3863.BBxx.xxxx
38:EA:A7:xx:xx:xx	38-EA-A7-xx-xx-xx	38EA.A7xx.xxxx
3C:4A:92:xx:xx:xx	3C-4A-92-xx-xx-xx	3C4A.92xx.xxxx
3C:52:82:xx:xx:xx	3C-52-82-xx-xx-xx	3C52.82xx.xxxx
3C:A8:2A:xx:xx:xx	3C-A8-2A-xx-xx-xx	3CA8.2Axx.xxxx
3C:D9:2B:xx:xx:xx	3C-D9-2B-xx-xx-xx	3CD9.2Bxx.xxxx
40:A8:F0:xx:xx:xx	40-A8-F0-xx-xx-xx	40A8.F0xx.xxxx
40:B0:34:xx:xx:xx	40-B0-34-xx-xx-xx	40B0.34xx.xxxx
44:1E:A1:xx:xx:xx	44-1E-A1-xx-xx-xx	441E.A1xx.xxxx
44:31:92:xx:xx:xx	44-31-92-xx-xx-xx	4431.92xx.xxxx
48:0F:CF:xx:xx:xx	48-0F-CF-xx-xx-xx	480F.CFxx.xxxx
48:BA:4E:xx:xx:xx	48-BA-4E-xx-xx-xx	48BA.4Exx.xxxx
50:65:F3:xx:xx:xx	50-65-F3-xx-xx-xx	5065.F3xx.xxxx
58:20:B1:xx:xx:xx	58-20-B1-xx-xx-xx	5820.B1xx.xxxx
5C:8A:38:xx:xx:xx	5C-8A-38-xx-xx-xx	5C8A.38xx.xxxx
5C:B9:01:xx:xx:xx	5C-B9-01-xx-xx-xx	5CB9.01xx.xxxx
64:31:50:xx:xx:xx	64-31-50-xx-xx-xx	6431.50xx.xxxx
64:51:06:xx:xx:xx	64-51-06-xx-xx-xx	6451.06xx.xxxx
68:B5:99:xx:xx:xx	68-B5-99-xx-xx-xx	68B5.99xx.xxxx
6C:3B:E5:xx:xx:xx	6C-3B-E5-xx-xx-xx	6C3B.E5xx.xxxx
6C:C2:17:xx:xx:xx	6C-C2-17-xx-xx-xx	6CC2.17xx.xxxx
70:5A:0F:xx:xx:xx	70-5A-0F-xx-xx-xx	705A.0Fxx.xxxx
74:46:A0:xx:xx:xx	74-46-A0-xx-xx-xx	7446.A0xx.xxxx
78:48:59:xx:xx:xx	78-48-59-xx-xx-xx	7848.59xx.xxxx
78:AC:C0:xx:xx:xx	78-AC-C0-xx-xx-xx	78AC.C0xx.xxxx
78:E3:B5:xx:xx:xx	78-E3-B5-xx-xx-xx	78E3.B5xx.xxxx
78:E7:D1:xx:xx:xx	78-E7-D1-xx-xx-xx	78E7.D1xx.xxxx
80:C1:6E:xx:xx:xx	80-C1-6E-xx-xx-xx	80C1.6Exx.xxxx
80:CE:62:xx:xx:xx	80-CE-62-xx-xx-xx	80CE.62xx.xxxx
84:34:97:xx:xx:xx	84-34-97-xx-xx-xx	8434.97xx.xxxx
84:A9:3E:xx:xx:xx	84-A9-3E-xx-xx-xx	84A9.3Exx.xxxx
88:51:FB:xx:xx:xx	88-51-FB-xx-xx-xx	8851.FBxx.xxxx
8C:DC:D4:xx:xx:xx	8C-DC-D4-xx-xx-xx	8CDC.D4xx.xxxx
94:57:A5:xx:xx:xx	94-57-A5-xx-xx-xx	9457.A5xx.xxxx
98:4B:E1:xx:xx:xx	98-4B-E1-xx-xx-xx	984B.E1xx.xxxx
98:E7:F4:xx:xx:xx	98-E7-F4-xx-xx-xx	98E7.F4xx.xxxx
9C:7B:EF:xx:xx:xx	9C-7B-EF-xx-xx-xx	9C7B.EFxx.xxxx
9C:8E:99:xx:xx:xx	9C-8E-99-xx-xx-xx	9C8E.99xx.xxxx
9C:B6:54:xx:xx:xx	9C-B6-54-xx-xx-xx	9CB6.54xx.xxxx
A0:1D:48:xx:xx:xx	A0-1D-48-xx-xx-xx	A01D.48xx.xxxx
A0:2B:B8:xx:xx:xx	A0-2B-B8-xx-xx-xx	A02B.B8xx.xxxx
A0:48:1C:xx:xx:xx	A0-48-1C-xx-xx-xx	A048.1Cxx.xxxx
A0:8C:FD:xx:xx:xx	A0-8C-FD-xx-xx-xx	A08C.FDxx.xxxx
A0:B3:CC:xx:xx:xx	A0-B3-CC-xx-xx-xx	A0B3.CCxx.xxxx
A0:D3:C1:xx:xx:xx	A0-D3-C1-xx-xx-xx	A0D3.C1xx.xxxx
A4:5D:36:xx:xx:xx	A4-5D-36-xx-xx-xx	A45D.36xx.xxxx
AC:16:2D:xx:xx:xx	AC-16-2D-xx-xx-xx	AC16.2Dxx.xxxx
AC:E2:D3:xx:xx:xx	AC-E2-D3-xx-xx-xx	ACE2.D3xx.xxxx
B0:0C:D1:xx:xx:xx	B0-0C-D1-xx-xx-xx	B00C.D1xx.xxxx
B0:5A:DA:xx:xx:xx	B0-5A-DA-xx-xx-xx	B05A.DAxx.xxxx
B4:39:D6:xx:xx:xx	B4-39-D6-xx-xx-xx	B439.D6xx.xxxx
B4:99:BA:xx:xx:xx	B4-99-BA-xx-xx-xx	B499.BAxx.xxxx
B4:B5:2F:xx:xx:xx	B4-B5-2F-xx-xx-xx	B4B5.2Fxx.xxxx
B4:B6:86:xx:xx:xx	B4-B6-86-xx-xx-xx	B4B6.86xx.xxxx
B8:AF:67:xx:xx:xx	B8-AF-67-xx-xx-xx	B8AF.67xx.xxxx
BC:EA:FA:xx:xx:xx	BC-EA-FA-xx-xx-xx	BCEA.FAxx.xxxx
C0:91:34:xx:xx:xx	C0-91-34-xx-xx-xx	C091.34xx.xxxx
C4:34:6B:xx:xx:xx	C4-34-6B-xx-xx-xx	C434.6Bxx.xxxx
C4:65:16:xx:xx:xx	C4-65-16-xx-xx-xx	C465.16xx.xxxx
C8:CB:B8:xx:xx:xx	C8-CB-B8-xx-xx-xx	C8CB.B8xx.xxxx
C8:D3:FF:xx:xx:xx	C8-D3-FF-xx-xx-xx	C8D3.FFxx.xxxx
C8:D9:D2:xx:xx:xx	C8-D9-D2-xx-xx-xx	C8D9.D2xx.xxxx
CC:3E:5F:xx:xx:xx	CC-3E-5F-xx-xx-xx	CC3E.5Fxx.xxxx
D0:7E:28:xx:xx:xx	D0-7E-28-xx-xx-xx	D07E.28xx.xxxx
D0:BF:9C:xx:xx:xx	D0-BF-9C-xx-xx-xx	D0BF.9Cxx.xxxx
D4:85:64:xx:xx:xx	D4-85-64-xx-xx-xx	D485.64xx.xxxx
D4:C9:EF:xx:xx:xx	D4-C9-EF-xx-xx-xx	D4C9.EFxx.xxxx
D8:9D:67:xx:xx:xx	D8-9D-67-xx-xx-xx	D89D.67xx.xxxx
D8:D3:85:xx:xx:xx	D8-D3-85-xx-xx-xx	D8D3.85xx.xxxx
DC:4A:3E:xx:xx:xx	DC-4A-3E-xx-xx-xx	DC4A.3Exx.xxxx
E4:11:5B:xx:xx:xx	E4-11-5B-xx-xx-xx	E411.5Bxx.xxxx
E4:E7:49:xx:xx:xx	E4-E7-49-xx-xx-xx	E4E7.49xx.xxxx
E8:39:35:xx:xx:xx	E8-39-35-xx-xx-xx	E839.35xx.xxxx
EC:8E:B5:xx:xx:xx	EC-8E-B5-xx-xx-xx	EC8E.B5xx.xxxx
EC:9A:74:xx:xx:xx	EC-9A-74-xx-xx-xx	EC9A.74xx.xxxx
EC:B1:D7:xx:xx:xx	EC-B1-D7-xx-xx-xx	ECB1.D7xx.xxxx
F0:62:81:xx:xx:xx	F0-62-81-xx-xx-xx	F062.81xx.xxxx
F0:92:1C:xx:xx:xx	F0-92-1C-xx-xx-xx	F092.1Cxx.xxxx
F4:30:B9:xx:xx:xx	F4-30-B9-xx-xx-xx	F430.B9xx.xxxx
F4:39:09:xx:xx:xx	F4-39-09-xx-xx-xx	F439.09xx.xxxx
F4:CE:46:xx:xx:xx	F4-CE-46-xx-xx-xx	F4CE.46xx.xxxx
FC:15:B4:xx:xx:xx	FC-15-B4-xx-xx-xx	FC15.B4xx.xxxx
FC:3F:DB:xx:xx:xx	FC-3F-DB-xx-xx-xx	FC3F.DBxx.xxxx
