10:F0:05:xx:xx:xx	10-F0-05-xx-xx-xx	10F0.05xx.xxxx
14:4F:8A:xx:xx:xx	14-4F-8A-xx-xx-xx	144F.8Axx.xxxx
14:AB:C5:xx:xx:xx	14-AB-C5-xx-xx-xx	14AB.C5xx.xxxx
18:1D:EA:xx:xx:xx	18-1D-EA-xx-xx-xx	181D.EAxx.xxxx
18:3D:A2:xx:xx:xx	18-3D-A2-xx-xx-xx	183D.A2xx.xxxx
18:56:80:xx:xx:xx	18-56-80-xx-xx-xx	1856.80xx.xxxx
18:5E:0F:xx:xx:xx	18-5E-0F-xx-xx-xx	185E.0Fxx.xxxx
18:FF:0F:xx:xx:xx	18-FF-0F-xx-xx-xx	18FF.0Fxx.xxxx
1C:1B:B5:xx:xx:xx	1C-1B-B5-xx-xx-xx	1C1B.B5xx.xxxx
1C:4D:70:xx:xx:xx	1C-4D-70-xx-xx-xx	1C4D.70xx.xxxx
20:16:B9:xx:xx:xx	20-16-B9-xx-xx-xx	2016.B9xx.xxxx
20:79:18:xx:xx:xx	20-79-18-xx-xx-xx	2079.18xx.xxxx
24:77:03:xx:xx:xx	24-77-03-xx-xx-xx	2477.03xx.xxxx
28:16:AD:xx:xx:xx	28-16-AD-xx-xx-xx	2816.ADxx.xxxx
28:B2:BD:xx:xx:xx	28-B2-BD-xx-xx-xx	28B2.BDxx.xxxx
28:C6:3F:xx:xx:xx	28-C6-3F-xx-xx-xx	28C6.3Fxx.xxxx
2C:6E:85:xx:xx:xx	2C-6E-85-xx-xx-xx	2C6E.85xx.xxxx
30:24:32:xx:xx:xx	30-24-32-xx-xx-xx	3024.32xx.xxxx
30:3A:64:xx:xx:xx	30-3A-64-xx-xx-xx	303A.64xx.xxxx
30:E3:7A:xx:xx:xx	30-E3-7A-xx-xx-xx	30E3.7Axx.xxxx
34:02:86:xx:xx:xx	34-02-86-xx-xx-xx	3402.86xx.xxxx
34:13:E8:xx:xx:xx	34-13-E8-xx-xx-xx	3413.E8xx.xxxx
34:41:5D:xx:xx:xx	34-41-5D-xx-xx-xx	3441.5Dxx.xxxx
34:DE:1A:xx:xx:xx	34-DE-1A-xx-xx-xx	34DE.1Axx.xxxx
34:E1:2D:xx:xx:xx	34-E1-2D-xx-xx-xx	34E1.2Dxx.xxxx
34:E6:AD:xx:xx:xx	34-E6-AD-xx-xx-xx	34E6.ADxx.xxxx
34:F3:9A:xx:xx:xx	34-F3-9A-xx-xx-xx	34F3.9Axx.xxxx
34:F6:4B:xx:xx:xx	34-F6-4B-xx-xx-xx	34F6.4Bxx.xxxx
38:00:25:xx:xx:xx	38-00-25-xx-xx-xx	3800.25xx.xxxx
38:BA:F8:xx:xx:xx	38-BA-F8-xx-xx-xx	38BA.F8xx.xxxx
38:DE:AD:xx:xx:xx	38-DE-AD-xx-xx-xx	38DE.ADxx.xxxx
