90:AE:1B:xx:xx:xx	90-AE-1B-xx-xx-xx	90AE.1Bxx.xxxx
90:F6:52:xx:xx:xx	90-F6-52-xx-xx-xx	90F6.52xx.xxxx
94:0C:6D:xx:xx:xx	94-0C-6D-xx-xx-xx	940C.6Dxx.xxxx
94:D9:B3:xx:xx:xx	94-D9-B3-xx-xx-xx	94D9.B3xx.xxxx
98:DA:C4:xx:xx:xx	98-DA-C4-xx-xx-xx	98DA.C4xx.xxxx
98:DE:D0:xx:xx:xx	98-DE-D0-xx-xx-xx	98DE.D0xx.xxxx
9C:21:6A:xx:xx:xx	9C-21-6A-xx-xx-xx	9C21.6Axx.xxxx
9C:A6:15:xx:xx:xx	9C-A6-15-xx-xx-xx	9CA6.15xx.xxxx
A0:F3:C1:xx:xx:xx	A0-F3-C1-xx-xx-xx	A0F3.C1xx.xxxx
A4:2B:B0:xx:xx:xx	A4-2B-B0-xx-xx-xx	A42B.B0xx.xxxx
A8:15:4D:xx:xx:xx	A8-15-4D-xx-xx-xx	A815.4Dxx.xxxx
A8:57:4E:xx:xx:xx	A8-57-4E-xx-xx-xx	A857.4Exx.xxxx
AC:84:C6:xx:xx:xx	AC-84-C6-xx-xx-xx	AC84.C6xx.xxxx
B0:48:7A:xx:xx:xx	B0-48-7A-xx-xx-xx	B048.7Axx.xxxx
B0:4E:26:xx:xx:xx	B0-4E-26-xx-xx-xx	B04E.26xx.xxxx
B0:95:8E:xx:xx:xx	B0-95-8E-xx-xx-xx	B095.8Exx.xxxx
B0:BE:76:xx:xx:xx	B0-BE-76-xx-xx-xx	B0BE.76xx.xxxx
B8:F8:83:xx:xx:xx	B8-F8-83-xx-xx-xx	B8F8.83xx.xxxx
BC:46:99:xx:xx:xx	BC-46-99-xx-xx-xx	BC46.99xx.xxxx
BC:D1:77:xx:xx:xx	BC-D1-77-xx-xx-xx	BCD1.77xx.xxxx
C0:25:E9:xx:xx:xx	C0-25-E9-xx-xx-xx	C025.E9xx.xxxx
C0:4A:00:xx:xx:xx	C0-4A-00-xx-xx-xx	C04A.00xx.xxxx
C0:61:18:xx:xx:xx	C0-61-18-xx-xx-xx	C061.18xx.xxxx
C0:E4:2D:xx:xx:xx	C0-E4-2D-xx-xx-xx	C0E4.2Dxx.xxxx
C4:6E:1F:xx:xx:xx	C4-6E-1F-xx-xx-xx	C46E.1Fxx.xxxx
C4:71:54:xx:xx:xx	C4-71-54-xx-xx-xx	C471.54xx.xxxx
C4:E9:84:xx:xx:xx	C4-E9-84-xx-xx-xx	C4E9.84xx.xxxx
CC:08:FB:xx:xx:xx	CC-08-FB-xx-xx-xx	CC08.FBxx.xxxx
CC:34:29:xx:xx:xx	CC-34-29-xx-xx-xx	CC34.29xx.xxxx
D0:76:E7:xx:xx:xx	D0-76-E7-xx-xx-xx	D076.E7xx.xxxx
D0:C7:C0:xx:xx:xx	D0-C7-C0-xx-xx-xx	D0C7.C0xx.xxxx
D4:01:6D:xx:xx:xx	D4-01-6D-xx-xx-xx	D401.6Dxx.xxxx
D4:6E:0E:xx:xx:xx	D4-6E-0E-xx-xx-xx	D46E.0Exx.xxxx
D8:0D:17:xx:xx:xx	D8-0D-17-xx-xx-xx	D80D.17xx.xxxx
D8:15:0D:xx:xx:xx	D8-15-0D-xx-xx-xx	D815.0Dxx.xxxx
D8:5D:4C:xx:xx:xx	D8-5D-4C-xx-xx-xx	D85D.4Cxx.xxxx
DC:00:77:xx:xx:xx	DC-00-77-xx-xx-xx	DC00.77xx.xxxx
DC:FE:18:xx:xx:xx	DC-FE-18-xx-xx-xx	DCFE.18xx.xxxx
E0:05:C5:xx:xx:xx	E0-05-C5-xx-xx-xx	E005.C5xx.xxxx
E4:D3:32:xx:xx:xx	E4-D3-32-xx-xx-xx	E4D3.32xx.xxxx
E8:94:F6:xx:xx:xx	E8-94-F6-xx-xx-xx	E894.F6xx.xxxx
E8:DE:27:xx:xx:xx	E8-DE-27-xx-xx-xx	E8DE.27xx.xxxx
EC:08:6B:xx:xx:xx	EC-08-6B-xx-xx-xx	EC08.6Bxx.xxxx
EC:17:2F:xx:xx:xx	EC-17-2F-xx-xx-xx	EC17.2Fxx.xxxx
EC:26:CA:xx:xx:xx	EC-26-CA-xx-xx-xx	EC26.CAxx.xxxx
EC:88:8F:xx:xx:xx	EC-88-8F-xx-xx-xx	EC88.8Fxx.xxxx
F0:F3:36:xx:xx:xx	F0-F3-36-xx-xx-xx	F0F3.36xx.xxxx
F4:83:CD:xx:xx:xx	F4-83-CD-xx-xx-xx	F483.CDxx.xxxx
F4:EC:38:xx:xx:xx	F4-EC-38-xx-xx-xx	F4EC.38xx.xxxx
F4:F2:6D:xx:xx:xx	F4-F2-6D-xx-xx-xx	F4F2.6Dxx.xxxx
F8:1A:67:xx:xx:xx	F8-1A-67-xx-xx-xx	F81A.67xx.xxxx
F8:D1:11:xx:xx:xx	F8-D1-11-xx-xx-xx	F8D1.11xx.xxxx
FC:D7:33:xx:xx:xx	FC-D7-33-xx-xx-xx	FCD7.33xx.xxxx
