BC:7F:A4:xx:xx:xx	BC-7F-A4-xx-xx-xx	BC7F.A4xx.xxxx
C4:0B:CB:xx:xx:xx	C4-0B-CB-xx-xx-xx	C40B.CBxx.xxxx
C4:6A:B7:xx:xx:xx	C4-6A-B7-xx-xx-xx	C46A.B7xx.xxxx
C8:28:32:xx:xx:xx	C8-28-32-xx-xx-xx	C828.32xx.xxxx
D0:9C:7A:xx:xx:xx	D0-9C-7A-xx-xx-xx	D09C.7Axx.xxxx
D4:97:0B:xx:xx:xx	D4-97-0B-xx-xx-xx	D497.0Bxx.xxxx
D8:32:E3:xx:xx:xx	D8-32-E3-xx-xx-xx	D832.E3xx.xxxx
D8:63:75:xx:xx:xx	D8-63-75-xx-xx-xx	D863.75xx.xxxx
D8:CE:3A:xx:xx:xx	D8-CE-3A-xx-xx-xx	D8CE.3Axx.xxxx
E0:62:67:xx:xx:xx	E0-62-67-xx-xx-xx	E062.67xx.xxxx
E0:B6:55:xx:xx:xx	E0-B6-55-xx-xx-xx	E0B6.55xx.xxxx
E0:DC:FF:xx:xx:xx	E0-DC-FF-xx-xx-xx	E0DC.FFxx.xxxx
E4:46:DA:xx:xx:xx	E4-46-DA-xx-xx-xx	E446.DAxx.xxxx
E4:DB:6D:xx:xx:xx	E4-DB-6D-xx-xx-xx	E4DB.6Dxx.xxxx
EC:41:18:xx:xx:xx	EC-41-18-xx-xx-xx	EC41.18xx.xxxx
EC:D0:9F:xx:xx:xx	EC-D0-9F-xx-xx-xx	ECD0.9Fxx.xxxx
F0:B4:29:xx:xx:xx	F0-B4-29-xx-xx-xx	F0B4.29xx.xxxx
F4:60:E2:xx:xx:xx	F4-60-E2-xx-xx-xx	F460.E2xx.xxxx
F4:8B:32:xx:xx:xx	F4-8B-32-xx-xx-xx	F48B.32xx.xxxx
F4:F5:DB:xx:xx:xx	F4-F5-DB-xx-xx-xx	F4F5.DBxx.xxxx
F8:A4:5F:xx:xx:xx	F8-A4-5F-xx-xx-xx	F8A4.5Fxx.xxxx
FC:64:BA:xx:xx:xx	FC-64-BA-xx-xx-xx	FC64.BAxx.xxxx
